Section,TP,FP,FN,TN,Support,Prevalence,Accuracy,Precision,Recall,F1-Score,Specificity,FPR,FNR,NPV,MCC
64,57,0,1,1442,58,0.03866666666666667,0.9993333333333333,1.0,0.9827586206896551,0.9913043478260869,1.0,0.0,0.017241379310344827,0.9993069993069993,0.9909982685577532
306,34,1,0,1465,34,0.02266666666666667,0.9993333333333333,0.9714285714285714,1.0,0.9855072463768115,0.9993178717598908,0.0006821282401091405,0.0,1.0,0.985274546797364
309(2),34,1,0,1465,34,0.02266666666666667,0.9993333333333333,0.9714285714285714,1.0,0.9855072463768115,0.9993178717598908,0.0006821282401091405,0.0,1.0,0.985274546797364
139,22,1,0,1477,22,0.014666666666666666,0.9993333333333333,0.9565217391304348,1.0,0.9777777777777777,0.9993234100135318,0.0006765899864682003,0.0,1.0,0.9776883788303408
117(2),136,7,2,1355,138,0.092,0.994,0.951048951048951,0.9855072463768116,0.9679715302491103,0.9948604992657856,0.005139500734214391,0.014492753623188406,0.9985261606484893,0.9648485951552902
104,27,2,0,1471,27,0.018,0.9986666666666667,0.9310344827586207,1.0,0.9642857142857143,0.9986422267481331,0.0013577732518669382,0.0,1.0,0.9642460002724228
117(3),62,8,2,1428,64,0.042666666666666665,0.9933333333333333,0.8857142857142857,0.96875,0.9253731343283582,0.9944289693593314,0.005571030640668524,0.03125,0.9986013986013986,0.9229053415207179
124(2),55,8,2,1435,57,0.038,0.9933333333333333,0.873015873015873,0.9649122807017544,0.9166666666666667,0.9944559944559944,0.005544005544005544,0.03508771929824561,0.9986082115518441,0.9144443638612917
117(1),114,23,17,1346,131,0.08733333333333333,0.9733333333333334,0.8321167883211679,0.8702290076335878,0.8507462686567164,0.9831994156318481,0.016800584368151936,0.1297709923664122,0.987527512839325,0.8363657953179933
65(1),16,9,0,1475,16,0.010666666666666666,0.994,0.64,1.0,0.7804878048780487,0.9939353099730458,0.006064690026954178,0.0,1.0,0.7975704347471447
118(1),23,16,0,1461,23,0.015333333333333332,0.9893333333333333,0.5897435897435898,1.0,0.7419354838709677,0.989167230873392,0.010832769126607989,0.0,1.0,0.7637768218478487
